2010-01-14,DL,BOS
2010-01-14,DL,MCO
2010-01-14,DL,HNL
2010-01-14,DL,ATL
2010-01-14,DL,SLC
2010-01-14,DL,LAS
2010-01-14,DL,SLC
2010-01-14,DL,RIC
2010-01-14,DL,MCO
2010-01-14,DL,ORF
2010-01-14,DL,RNO
2010-01-14,DL,SLC
2010-01-14,DL,HSV
2010-01-14,DL,BDL
2010-01-14,DL,MCO
2010-01-14,DL,MSP
2010-01-14,DL,ATL
2010-01-14,DL,CVG
2010-01-14,DL,ATL
2010-01-14,DL,GEG
2010-01-14,DL,SLC
2010-01-14,DL,CVG
2010-01-14,DL,PDX
2010-01-14,DL,SLC
2010-01-14,DL,CVG
2010-01-14,DL,MEM
2010-01-14,DL,ATL
2010-01-14,DL,PHX
2010-01-14,DL,IND
2010-01-14,DL,SLC
2010-01-14,DL,ATL
2010-01-14,DL,RSW
2010-01-14,DL,PHL
2010-01-14,DL,RIC
2010-01-14,DL,ATL
2010-01-14,DL,RNO
2010-01-14,DL,SLC
2010-01-14,DL,PHL
2010-01-14,DL,SLC
2010-01-14,DL,ATL
2010-01-14,DL,MSY
2010-01-14,DL,ATL
2010-01-14,DL,MCI
2010-01-14,DL,ATL
2010-01-14,DL,MCO
2010-01-14,DL,BOI
2010-01-14,DL,MCO
2010-01-14,DL,ATL
2010-01-14,DL,FLL
2010-01-14,DL,CVG
2010-01-14,DL,PDX
2010-01-14,DL,SLC
2010-01-14,DL,BUF
2010-01-14,DL,JAX
2010-01-14,DL,ATL
2010-01-14,DL,PBI
2010-01-14,DL,CVG
2010-01-14,DL,RSW
2010-01-14,DL,EYW
2010-01-14,DL,ATL
2010-01-14,DL,SMF
2010-01-14,DL,SLC
2010-01-14,DL,BOI
2010-01-14,DL,SLC
2010-01-14,DL,LAX
2010-01-14,DL,DTW
2010-01-14,DL,LAX
2010-01-14,DL,RDU
2010-01-14,DL,STL
2010-01-14,DL,LAX
2010-01-14,DL,PIT
2010-01-14,DL,SLC
2010-01-14,DL,LAX
2010-01-14,DL,EWR
2010-01-14,DL,SLC
2010-01-14,DL,JAX
2010-01-14,DL,SLC
2010-01-14,DL,BWI
2010-01-14,DL,ATL
2010-01-14,DL,ANC
2010-01-14,DL,MCO
2010-01-14,DL,SLC
2010-01-14,DL,RSW
2010-01-14,DL,SLC
2010-01-14,DL,OGG
2010-01-14,DL,SLC
2010-01-14,DL,RDU
2010-01-14,DL,ATL
2010-01-14,DL,EWR
2010-01-14,DL,LAS
2010-01-14,DL,JFK
2010-01-14,DL,SLC
2010-01-14,DL,TPA
2010-01-14,DL,CVG
